Year,Team1,Team2,Goals_Team1,Goals_Team2,Winner,FIFA_Ranking_Team1,FIFA_Ranking_Team2,Avg_Age_Team1,Avg_Age_Team2,Experience_Team1,Experience_Team2,Possession_Team1,Possession_Team2,Shots_On_Target_T1,Shots_On_Target_T2,Past_WC_Performance_T1,Past_WC_Performance_T2
2002,Czech Republic,Belgium,2,0,Czech Republic,6,28,25.5,26.9,4,3,51.5,53.3,1,5,2,3
2002,Russia,Mexico,1,0,Russia,79,8,28.5,26.8,5,8,42.0,44.3,3,3,1,1
2002,Sweden,Nigeria,3,2,Sweden,27,1,28.4,30.9,2,7,49.0,44.4,5,8,0,4
2002,Netherlands,Ghana,3,0,Netherlands,10,37,30.7,24.2,1,6,58.8,54.6,7,8,1,4
2002,Poland,Paraguay,1,0,Poland,73,63,26.6,28.0,9,4,59.1,50.0,3,2,4,2
2002,Czech Republic,Serbia,2,0,Czech Republic,97,22,28.3,30.0,1,9,44.8,48.3,6,4,2,4
2002,Australia,Japan,0,0,Draw,96,70,27.2,31.5,4,1,52.5,43.4,5,1,1,4
2002,Nigeria,Switzerland,1,0,Nigeria,48,21,29.6,26.2,2,2,49.5,43.8,1,4,1,0
2002,Croatia,Ghana,1,0,Croatia,70,96,25.6,28.0,4,4,57.5,40.2,6,4,4,4
2002,Croatia,Chile,2,2,Draw,59,35,28.5,28.1,8,3,45.4,41.8,8,9,0,3
2002,Cameroon,Mexico,2,2,Draw,59,79,26.6,27.4,8,1,40.1,51.1,1,3,1,2
2002,Senegal,Australia,0,0,Draw,2,5,26.9,26.8,9,5,43.3,57.8,2,2,4,1
2002,Tunisia,Senegal,0,1,Senegal,29,60,27.2,27.9,5,7,47.0,45.7,4,9,0,1
2002,Cameroon,Belgium,0,2,Belgium,68,46,27.5,21.9,7,2,46.3,46.6,2,9,0,0
2002,Argentina,Australia,2,1,Argentina,65,50,26.8,28.4,3,5,55.8,42.3,9,1,2,1
2002,Chile,Belgium,1,0,Chile,83,48,27.4,27.3,4,6,53.6,47.8,8,6,4,1
2002,Germany,Portugal,0,0,Draw,26,6,30.2,26.6,9,7,46.0,40.7,8,8,0,2
2002,Cameroon,England,2,2,Draw,89,89,29.0,31.1,1,1,49.2,58.4,4,3,2,2
2002,Serbia,Saudi Arabia,1,2,Saudi Arabia,10,56,28.7,25.7,2,7,41.9,53.5,5,9,3,3
2002,Greece,USA,2,2,Draw,53,59,26.1,26.2,5,4,58.0,59.8,4,2,4,0
2002,Germany,Turkey,2,1,Germany,79,29,25.2,31.0,3,8,58.7,57.7,9,6,3,1
2002,Poland,Australia,3,1,Poland,59,71,28.9,25.3,2,4,59.6,49.5,2,1,0,3
2002,Ecuador,Denmark,3,1,Ecuador,22,77,28.8,25.9,1,6,57.4,50.4,8,7,4,0
2002,Belgium,Italy,2,2,Draw,51,18,29.9,26.7,3,9,43.5,43.8,2,3,2,1
2002,Chile,Paraguay,0,0,Draw,48,2,25.8,28.7,1,5,40.9,49.2,1,7,0,1
2002,Ghana,Belgium,0,1,Belgium,21,8,26.5,27.4,1,4,51.6,58.1,3,4,4,2
2002,Morocco,Ghana,2,0,Morocco,22,75,23.7,24.4,1,8,58.3,41.0,9,9,4,4
2002,Saudi Arabia,Poland,0,3,Poland,98,97,26.2,25.9,8,9,43.5,57.3,3,5,3,0
2002,Denmark,Senegal,0,1,Senegal,30,54,29.0,25.8,3,4,40.1,46.8,9,3,0,1
2002,Sweden,Nigeria,3,2,Sweden,25,38,26.1,26.8,1,3,56.1,58.0,7,8,2,0
2002,Argentina,Denmark,2,0,Argentina,28,48,28.3,27.9,7,8,41.5,58.8,1,6,2,3
2002,Ukraine,Czech Republic,1,2,Czech Republic,65,27,26.6,27.8,3,5,48.3,53.4,5,2,0,3
2002,England,Czech Republic,1,1,Draw,45,20,27.6,23.4,8,2,53.6,53.3,9,3,0,4
2002,Poland,USA,2,0,Poland,68,12,24.7,29.1,4,9,44.7,49.1,3,8,1,1
2002,Portugal,Turkey,2,2,Draw,7,43,27.2,27.5,4,3,41.7,56.7,9,7,3,2
2002,Czech Republic,Italy,1,0,Czech Republic,49,61,21.0,29.8,5,2,55.4,59.2,5,6,0,1
2002,South Korea,Paraguay,2,1,South Korea,9,31,26.6,27.9,6,1,52.6,55.5,9,1,0,0
2002,France,Nigeria,2,2,Draw,36,91,23.7,29.2,7,8,59.8,52.4,6,9,1,3
2002,Ghana,Russia,0,1,Russia,83,96,29.4,27.9,4,3,46.9,52.1,9,3,1,0
2002,USA,Croatia,1,3,Croatia,1,61,28.6,29.7,8,7,41.2,57.0,7,5,4,4
2002,Portugal,South Korea,1,0,Portugal,10,74,27.9,28.0,6,1,54.7,50.8,7,7,2,3
2002,Iran,Belgium,6,0,Iran,36,67,30.0,26.8,1,1,50.4,56.1,8,7,3,2
2002,Germany,Portugal,1,1,Draw,73,91,25.1,31.5,1,9,44.3,50.2,7,3,4,3
2002,Switzerland,Uruguay,0,0,Draw,46,35,30.5,28.8,9,8,55.6,41.2,9,4,0,1
2002,Saudi Arabia,Japan,2,3,Japan,32,95,28.9,28.1,6,3,44.1,47.7,9,7,1,1
2002,England,Greece,3,1,England,32,15,26.5,24.4,8,6,45.2,48.9,6,8,2,3
2002,Netherlands,England,6,1,Netherlands,6,16,29.3,24.4,7,3,41.9,42.8,7,2,4,4
2002,Paraguay,Mexico,1,2,Mexico,48,13,24.8,27.6,6,4,48.0,42.0,2,9,2,1
2002,USA,Tunisia,0,1,Tunisia,38,35,25.4,27.3,4,1,48.4,50.7,9,7,1,1
2002,Japan,Portugal,3,0,Japan,17,75,25.8,25.8,7,5,50.3,41.7,1,8,4,2
2002,Senegal,Morocco,5,1,Senegal,74,59,25.9,27.3,9,1,54.2,46.1,1,6,4,3
2002,Tunisia,Germany,2,0,Tunisia,27,21,24.9,30.2,7,1,58.1,54.9,3,6,2,1
2002,France,Italy,2,0,France,54,54,29.4,28.4,1,7,42.8,59.3,6,9,1,4
2002,Germany,Russia,2,1,Germany,50,75,26.5,24.7,9,6,41.1,54.4,5,4,0,0
2002,Spain,Ukraine,2,0,Spain,35,30,27.7,26.8,4,2,40.4,59.9,2,5,4,3
2002,France,Greece,3,1,France,85,48,25.9,25.4,3,2,42.9,54.0,9,9,0,2
2002,Russia,Australia,2,0,Russia,25,35,23.4,26.2,4,7,53.2,45.9,4,1,1,1
2002,South Korea,Netherlands,2,2,Draw,28,86,27.5,26.2,4,1,54.5,53.4,4,4,4,4
2002,Iran,Brazil,2,1,Iran,15,38,23.2,26.0,2,2,55.7,54.0,5,7,4,3
2002,Colombia,Chile,4,1,Colombia,4,31,26.9,24.5,1,8,44.9,47.4,8,9,0,4
2002,Uruguay,Japan,2,1,Uruguay,93,78,24.3,26.7,1,6,46.1,40.4,4,6,3,4
2002,Senegal,England,1,2,England,73,24,31.0,25.9,8,2,49.7,54.1,5,8,0,2
