Year,Team1,Team2,Goals_Team1,Goals_Team2,FIFA_Ranking_Team1,FIFA_Ranking_Team2,Avg_Age_Team1,Avg_Age_Team2,Experience_Team1,Experience_Team2,Possession_Team1,Possession_Team2,Shots_On_Target_T1,Shots_On_Target_T2,Past_WC_Performance_T1,Past_WC_Performance_T2,Winner,Team1_Win,Goal_Diff,Rank_Diff,Age_Diff,Exp_Diff,Poss_Diff,ShotsOT_Diff,PastPerf_Diff
2002,Czech Republic,Belgium,2,0,6,84,29.9,29.0,9,9,53.8,43.9,4,9,5,4,Czech Republic,1,2,78,0.8999999999999986,0,9.899999999999999,-5,1
2002,Russia,Mexico,1,0,79,76,25.8,27.5,4,5,45.7,46.3,5,5,0,2,Russia,1,1,-3,-1.6999999999999993,-1,-0.5999999999999943,0,-2
2002,Sweden,Nigeria,3,2,27,33,27.7,23.3,1,4,53.9,52.4,0,7,3,5,Sweden,1,1,6,4.399999999999999,-3,1.5,-7,-2
2002,Netherlands,Ghana,3,0,10,28,26.1,28.8,1,2,46.1,52.8,5,8,4,1,Netherlands,1,3,18,-2.6999999999999993,-1,-6.699999999999996,-3,3
2002,Poland,Paraguay,1,0,73,8,28.5,27.4,5,2,55.2,54.0,1,5,5,0,Poland,1,1,-65,1.1000000000000014,3,1.2000000000000028,-4,5
2002,Czech Republic,Serbia,2,0,97,1,24.8,29.8,2,5,52.4,42.2,5,10,2,4,Czech Republic,1,2,-96,-5.0,-3,10.199999999999996,-5,-2
2002,Australia,Japan,0,0,96,37,28.5,27.2,8,7,41.5,57.0,8,8,2,0,Draw,0,0,-59,1.3000000000000007,1,-15.5,0,2
2002,Nigeria,Switzerland,1,0,48,63,27.2,25.4,10,10,50.3,50.7,7,3,5,1,Nigeria,1,1,15,1.8000000000000007,0,-0.4000000000000057,4,4
2002,Croatia,Ghana,1,0,70,22,25.7,26.6,5,10,46.9,49.4,8,5,1,4,Croatia,1,1,-48,-0.9000000000000021,-5,-2.5,3,-3
2002,Croatia,Chile,2,2,59,70,26.7,28.6,5,9,46.6,59.6,9,7,4,4,Draw,0,0,11,-1.9000000000000021,-4,-13.0,2,0
2002,Cameroon,Mexico,2,2,100,21,30.1,25.5,2,7,52.0,54.8,7,8,1,5,Draw,0,0,-79,4.600000000000001,-5,-2.799999999999997,-1,-4
2002,Senegal,Australia,0,0,59,96,27.3,26.1,7,5,46.4,42.4,2,2,2,0,Draw,0,0,37,1.1999999999999993,2,4.0,0,2
2002,Tunisia,Senegal,0,1,2,35,25.6,26.6,8,10,55.5,55.1,7,1,3,5,Senegal,0,-1,33,-1.0,-2,0.3999999999999986,6,-2
2002,Cameroon,Belgium,0,2,29,79,24.6,24.7,10,10,41.4,41.9,5,5,5,3,Belgium,0,-2,50,-0.09999999999999787,0,-0.5,0,2
2002,Argentina,Australia,2,1,68,5,28.0,25.5,1,10,53.2,40.5,5,3,0,0,Argentina,1,1,-63,2.5,-9,12.700000000000003,2,0
2002,Chile,Belgium,1,0,65,60,27.4,27.3,2,6,56.2,48.1,5,0,2,0,Chile,1,1,-5,0.09999999999999787,-4,8.100000000000001,5,2
2002,Germany,Portugal,0,0,83,46,28.4,29.4,10,3,53.5,59.9,2,7,4,3,Draw,0,0,-37,-1.0,7,-6.399999999999999,-5,1
2002,Cameroon,England,2,2,26,50,24.1,27.6,4,5,49.9,43.5,9,8,2,1,Draw,0,0,24,-3.5,-1,6.399999999999999,1,1
2002,Serbia,Saudi Arabia,1,2,89,48,24.7,26.9,5,8,59.0,53.5,0,8,4,1,Saudi Arabia,0,-1,-41,-2.1999999999999993,-3,5.5,-8,3
2002,Greece,USA,2,2,10,6,29.3,25.3,2,1,46.0,43.5,3,1,4,4,Draw,0,0,-4,4.0,1,2.5,2,0
2002,Germany,Turkey,2,1,53,89,27.7,29.2,1,1,40.4,54.5,9,8,5,2,Germany,1,1,36,-1.5,0,-14.100000000000001,1,3
2002,Poland,Australia,3,1,79,56,28.1,27.9,9,7,48.6,50.1,5,6,4,5,Poland,1,2,-23,0.20000000000000284,2,-1.5,-1,-1
2002,Ecuador,Denmark,3,1,59,59,25.1,25.6,1,5,40.7,53.6,10,4,1,2,Ecuador,1,2,0,-0.5,-4,-12.899999999999999,6,-1
2002,Belgium,Italy,2,2,22,29,25.0,28.8,4,5,59.1,44.1,9,6,3,4,Draw,0,0,7,-3.8000000000000007,-1,15.0,3,-1
2002,Chile,Paraguay,0,0,51,71,29.0,28.1,2,1,44.2,54.9,1,8,2,2,Draw,0,0,20,0.8999999999999986,1,-10.699999999999996,-7,0
2002,Ghana,Belgium,0,1,48,77,29.1,25.4,4,9,55.8,59.9,6,7,3,0,Belgium,0,-1,29,3.700000000000003,-5,-4.100000000000001,-1,3
2002,Morocco,Ghana,2,0,21,18,24.8,26.8,8,1,55.5,53.3,6,5,0,0,Morocco,1,2,-3,-2.0,7,2.200000000000003,1,0
2002,Saudi Arabia,Poland,0,3,22,2,24.4,26.0,8,5,44.4,49.9,10,3,2,3,Poland,0,-3,-20,-1.6000000000000014,3,-5.5,7,-1
2002,Denmark,Senegal,0,1,100,8,26.8,32.3,9,10,52.4,58.5,3,0,3,3,Senegal,0,-1,-92,-5.4999999999999964,-1,-6.100000000000001,3,0
2002,Sweden,Nigeria,3,2,98,75,25.4,28.1,5,9,41.0,40.3,3,5,3,4,Sweden,1,1,-23,-2.700000000000003,-4,0.7000000000000028,-2,-1
2002,Argentina,Denmark,2,0,30,97,25.4,27.4,7,4,49.7,54.6,0,2,5,4,Argentina,1,2,67,-2.0,3,-4.899999999999999,-2,1
2002,Ukraine,Czech Republic,1,2,25,54,24.5,27.9,3,8,40.3,57.8,1,5,5,4,Czech Republic,0,-1,29,-3.3999999999999986,-5,-17.5,-4,1
